,date,state,beds_x,beds_covid,beds_noncrit,admitted_pui_x,admitted_covid_x,admitted_total_x,discharged_pui_x,discharged_covid_x,discharged_total_x,hosp_covid,hosp_pui,hosp_noncovid,beds_icu,beds_icu_rep,beds_icu_total,beds_icu_covid,vent,vent_port,icu_covid,icu_pui,icu_noncovid,vent_covid,vent_pui,vent_noncovid,vent_used,vent_port_used,beds_y,admitted_pui_y,admitted_covid_y,admitted_total_y,discharged_pui_y,discharged_covid_y,discharged_total_y,pkrc_covid,pkrc_pui,pkrc_noncovid
0,2020-03-24,Johor,1440,434,1408,0,0,0,0,0,0,18,9,1,10.0,22.0,32.0,10.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,,,
1,2020-03-24,Kedah,1218,143,1183,0,0,0,0,0,0,46,5,12,35.0,0.0,35.0,16.0,34.0,0.0,2.0,1.0,12.0,1.0,1.0,0.0,19.0,0.0,,,,,,,,,,
2,2020-03-24,Kelantan,1463,280,1424,9,6,15,1,0,1,78,58,23,39.0,0.0,39.0,20.0,42.0,4.0,1.0,0.0,20.0,1.0,0.0,0.0,26.0,0.0,,,,,,,,,,
3,2020-03-24,Melaka,1091,82,1065,0,0,0,0,0,0,19,10,12,26.0,0.0,26.0,12.0,23.0,4.0,0.0,2.0,12.0,0.0,1.0,0.0,13.0,5.0,,,,,,,,,,
4,2020-03-24,Negeri Sembilan,1223,253,1205,0,0,0,0,0,0,90,13,8,18.0,0.0,18.0,10.0,14.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,6.0,,,,,,,,,,
5,2020-03-24,Pahang,851,87,830,0,0,0,0,0,0,36,14,14,21.0,0.0,21.0,7.0,37.0,4.0,2.0,0.0,14.0,1.0,0.0,0.0,32.0,1.0,,,,,,,,,,
6,2020-03-24,Perak,1706,211,1667,0,0,0,0,1,1,78,40,6,39.0,0.0,39.0,17.0,50.0,14.0,24.0,2.0,6.0,4.0,2.0,0.0,37.0,9.0,,,,,,,,,,
7,2020-03-24,Perlis,508,12,495,0,0,0,0,0,0,7,8,8,13.0,0.0,13.0,4.0,17.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,4.0,,,,,,,,,,
8,2020-03-24,Pulau Pinang,1158,86,1132,0,0,0,0,0,0,68,2,8,26.0,0.0,26.0,6.0,28.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,20.0,4.0,,,,,,,,,,
9,2020-03-24,Sabah,2598,605,2528,0,0,0,0,0,0,161,46,35,66.0,4.0,70.0,60.0,66.0,16.0,1.0,0.0,35.0,1.0,0.0,0.0,41.0,7.0,,,,,,,,,,
10,2020-03-24,Sarawak,2390,418,2327,0,0,0,0,0,0,73,85,29,51.0,12.0,63.0,26.0,64.0,20.0,7.0,1.0,29.0,7.0,1.0,0.0,47.0,7.0,,,,,,,,,,
11,2020-03-24,Selangor,887,504,783,5,16,21,0,24,24,261,39,184,42.0,62.0,104.0,42.0,56.0,7.0,23.0,0.0,2.0,12.0,0.0,0.0,56.0,0.0,,,,,,,,,,
12,2020-03-24,Terengganu,1232,215,1209,0,0,0,0,0,0,9,6,14,23.0,0.0,23.0,12.0,33.0,3.0,0.0,0.0,14.0,0.0,0.0,0.0,23.0,3.0,,,,,,,,,,
13,2020-03-24,W.P. Kuala Lumpur,1570,248,1537,0,0,0,0,0,0,70,15,1,33.0,0.0,33.0,30.0,43.0,16.0,9.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,,,,,,,,,,
14,2020-03-24,W.P. Labuan,122,9,115,0,0,0,0,0,0,5,3,2,5.0,2.0,7.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
15,2020-03-25,Johor,1440,511,1408,20,14,34,26,0,26,134,120,1,10.0,22.0,32.0,10.0,11.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,
16,2020-03-25,Kedah,1218,165,1183,17,5,22,0,0,0,94,31,14,35.0,0.0,35.0,16.0,34.0,0.0,3.0,0.0,14.0,2.0,0.0,0.0,21.0,0.0,,,,,,,,,,
17,2020-03-25,Kelantan,1365,66,1321,0,0,0,0,0,0,0,0,32,44.0,0.0,44.0,20.0,47.0,4.0,3.0,2.0,32.0,2.0,0.0,0.0,36.0,0.0,,,,,,,,,,
18,2020-03-25,Melaka,1091,95,1065,0,2,2,0,1,1,38,11,8,26.0,0.0,26.0,12.0,23.0,4.0,0.0,1.0,8.0,0.0,1.0,0.0,15.0,0.0,,,,,,,,,,
19,2020-03-25,Negeri Sembilan,1223,262,1205,1,16,17,2,5,7,98,2,7,18.0,0.0,18.0,10.0,14.0,9.0,1.0,0.0,7.0,0.0,0.0,0.0,5.0,7.0,,,,,,,,,,
20,2020-03-25,Pahang,763,114,742,1,4,5,9,1,10,11,40,13,21.0,0.0,21.0,7.0,37.0,4.0,2.0,0.0,13.0,2.0,0.0,0.0,33.0,1.0,,,,,,,,,,
21,2020-03-25,Perak,2011,311,1964,28,5,33,0,0,0,94,46,16,47.0,0.0,47.0,17.0,60.0,14.0,8.0,0.0,16.0,7.0,0.0,0.0,33.0,7.0,,,,,,,,,,
22,2020-03-25,Perlis,508,12,495,0,1,1,17,1,18,10,21,9,13.0,0.0,13.0,4.0,17.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,16.0,4.0,,,,,,,,,,
23,2020-03-25,Pulau Pinang,1158,86,1132,6,2,8,2,4,6,43,4,8,26.0,0.0,26.0,6.0,28.0,7.0,1.0,0.0,8.0,1.0,0.0,0.0,18.0,0.0,,,,,,,,,,
24,2020-03-25,Sabah,2598,622,2528,6,0,6,0,0,0,167,58,24,66.0,4.0,70.0,60.0,66.0,16.0,1.0,0.0,24.0,1.0,0.0,0.0,27.0,5.0,,,,,,,,,,
25,2020-03-25,Sarawak,2390,418,2327,7,5,12,5,4,9,78,63,29,51.0,12.0,63.0,26.0,64.0,20.0,10.0,0.0,29.0,9.0,0.0,0.0,46.0,3.0,,,,,,,,,,
26,2020-03-25,Selangor,845,476,741,7,33,40,0,6,6,281,55,73,42.0,62.0,104.0,42.0,56.0,7.0,19.0,0.0,4.0,15.0,0.0,0.0,56.0,7.0,,,,,,,,,,
27,2020-03-25,Terengganu,1117,215,1094,3,1,4,0,0,0,35,70,13,23.0,0.0,23.0,12.0,33.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,21.0,3.0,,,,,,,,,,
28,2020-03-25,W.P. Kuala Lumpur,1570,248,1537,4,22,26,0,0,0,146,25,0,33.0,0.0,33.0,30.0,43.0,16.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,,,,,,,,,,
29,2020-03-25,W.P. Labuan,122,10,115,1,0,1,0,0,0,0,1,2,5.0,2.0,7.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
30,2020-03-26,Johor,1440,511,1408,5,7,12,0,3,3,170,30,184,10.0,22.0,32.0,10.0,11.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,
31,2020-03-26,Kedah,1218,165,1183,1,5,6,0,0,0,52,6,670,35.0,0.0,35.0,16.0,34.0,0.0,3.0,1.0,14.0,2.0,1.0,0.0,22.0,0.0,,,,,,,,,,
32,2020-03-26,Kelantan,1573,274,1529,10,12,22,4,0,4,89,62,679,44.0,0.0,44.0,20.0,47.0,4.0,4.0,2.0,23.0,1.0,2.0,0.0,33.0,0.0,,,,,,,,,,
33,2020-03-26,Melaka,1091,95,1065,0,0,0,0,0,0,0,0,14,26.0,0.0,26.0,12.0,23.0,4.0,0.0,2.0,14.0,0.0,1.0,0.0,5.0,1.0,,,,,,,,,,
34,2020-03-26,Negeri Sembilan,1223,262,1205,2,14,16,0,2,2,106,3,467,18.0,0.0,18.0,10.0,14.0,9.0,3.0,0.0,5.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,,,
35,2020-03-26,Pahang,763,114,742,4,4,8,0,0,0,44,15,257,21.0,0.0,21.0,7.0,37.0,4.0,2.0,0.0,11.0,2.0,0.0,0.0,32.0,0.0,,,,,,,,,,
36,2020-03-26,Perak,2011,311,1964,16,4,20,3,0,3,149,30,807,47.0,0.0,47.0,17.0,60.0,14.0,9.0,2.0,14.0,8.0,2.0,0.0,42.0,0.0,,,,,,,,,,
37,2020-03-26,Perlis,508,12,495,1,0,1,0,0,0,0,3,226,13.0,0.0,13.0,4.0,17.0,8.0,0.0,1.0,7.0,0.0,1.0,0.0,15.0,0.0,,,,,,,,,,
38,2020-03-26,Pulau Pinang,1158,86,1132,0,4,4,2,3,5,52,2,480,26.0,0.0,26.0,6.0,28.0,7.0,1.0,0.0,9.0,1.0,0.0,0.0,19.0,2.0,,,,,,,,,,
39,2020-03-26,Sabah,2598,622,2528,11,1,12,2,0,2,168,66,1174,66.0,4.0,70.0,60.0,66.0,16.0,3.0,1.0,22.0,2.0,1.0,0.0,31.0,0.0,,,,,,,,,,
40,2020-03-26,Sarawak,2390,418,2327,12,3,15,6,0,6,62,53,939,51.0,12.0,63.0,26.0,64.0,20.0,10.0,1.0,24.0,9.0,1.0,0.0,34.0,4.0,,,,,,,,,,
41,2020-03-26,Selangor,845,476,741,8,23,31,14,13,27,283,34,144,42.0,62.0,104.0,42.0,56.0,7.0,24.0,2.0,1.0,12.0,0.0,0.0,56.0,7.0,,,,,,,,,,
42,2020-03-26,Terengganu,1117,215,1094,0,0,0,0,0,0,36,99,587,23.0,0.0,23.0,12.0,33.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,21.0,0.0,,,,,,,,,,
43,2020-03-26,W.P. Kuala Lumpur,1570,248,1537,4,12,16,9,10,19,136,21,698,33.0,0.0,33.0,30.0,43.0,16.0,9.0,0.0,16.0,9.0,0.0,0.0,35.0,0.0,,,,,,,,,,
44,2020-03-26,W.P. Labuan,122,10,115,7,0,7,0,0,0,0,8,81,5.0,2.0,7.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,,,
45,2020-03-27,Johor,1440,511,1408,40,20,60,0,0,0,199,33,48,10.0,22.0,32.0,10.0,11.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,,,,,,,,
46,2020-03-27,Kedah,1218,165,1183,1,4,5,1,6,7,50,6,584,35.0,0.0,35.0,16.0,34.0,0.0,2.0,1.0,11.0,2.0,1.0,0.0,21.0,0.0,,,,,,,,,,
47,2020-03-27,Kelantan,1573,274,1529,13,7,20,7,5,12,94,68,689,44.0,0.0,44.0,20.0,47.0,4.0,5.0,3.0,28.0,1.0,3.0,0.0,36.0,0.0,,,,,,,,,,
48,2020-03-27,Melaka,1091,95,1065,7,0,7,0,1,1,25,15,666,26.0,0.0,26.0,12.0,23.0,4.0,0.0,2.0,14.0,0.0,1.0,0.0,22.0,0.0,,,,,,,,,,
49,2020-03-27,Negeri Sembilan,1223,262,1205,2,6,8,14,11,25,103,4,515,18.0,0.0,18.0,10.0,14.0,9.0,4.0,0.0,2.0,4.0,0.0,0.0,6.0,0.0,,,,,,,,,,
50,2020-03-27,Pahang,763,114,742,11,2,13,4,0,4,49,19,297,21.0,0.0,21.0,7.0,37.0,4.0,2.0,0.0,12.0,2.0,0.0,0.0,32.0,0.0,,,,,,,,,,
