date,cases_new,cases_recovered,cases_active,cases_unvax,cases_pvax,cases_fvax,cases_0_4,cases_5_11,cases_12_17,cases_18_29,cases_30_39,cases_40_49,cases_50_59,cases_60_69,cases_70_79,cases_80,daily_partial,daily,admitted_covid_hospital,admitted_total_hospital,discharged_covid_hospital,discharged_total_hospital,hosp_covid_hospital,icu_covid,vent_covid,cases_new_capita
2020-01-25,4,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,1.0542406831479628e-06
2020-01-26,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,0.0
2020-01-27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,0.0
2020-01-28,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,0.0
2020-01-29,3,0,7,3,0,0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,9.82991968123945e-07
2020-01-30,1,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,2.635601707869907e-07
2020-01-31,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,0.0
2020-02-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,0.0
2020-02-02,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,0.0
2020-02-03,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,96.0,176.0,80.0,144.0,448.0,32.0,16.0,0.0
